Year,Month,Days,Daily Rainfall Totals (mm),Inflow (m3/s)
2022,3,28,29.0,13.3
2022,7,1,0.0,0.1
2022,7,2,0.0,3.3
2022,7,3,0.0,0.0
2022,7,4,0.0,1.7
2022,7,5,0.0,0.1
2022,7,6,27.8,12.3
2022,7,7,0.0,7.9
2022,7,8,0.0,0.0
2022,7,9,8.2,5.4
2022,7,10,0.0,1.1
2022,7,11,0.0,0.5
2022,7,12,0.0,0.0
2022,7,13,55.0,22.9
2022,7,14,0.0,16.2
2022,7,15,11.1,2.1
2022,7,16,11.6,6.5
2022,7,17,19.9,1.6
2022,7,18,0.0,3.7
2022,7,19,47.8,19.0
2022,7,20,27.0,14.5
2022,7,21,0.0,0.1
2022,7,22,0.0,3.3
2022,7,23,14.5,4.5
2022,7,24,5.8,4.8
2022,7,25,3.9,0.9
2022,7,26,0.0,1.1
2022,7,27,0.0,1.0
2022,7,28,0.0,0.5
2022,7,29,17.9,7.3
2022,7,30,0.0,5.1
2022,7,31,7.4,2.5
2022,0,1,73.8,30.3
2022,0,2,7.8,19.1
2022,0,3,0.0,0.1
2022,0,4,16.7,11.3
2022,0,5,40.3,12.3
2022,0,6,0.0,7.5
2022,0,7,0.0,0.4
2022,0,8,0.3,1.5
2022,0,9,1.4,0.8
2022,0,10,0.0,0.6
2022,0,11,20.9,8.7
2022,0,12,46.2,16.3
2022,0,13,0.0,7.0
2022,0,14,2.0,0.3
2022,0,15,0.0,2.0
2022,0,16,14.1,4.8
2022,0,17,19.0,7.0
2022,0,18,12.6,0.5
2022,0,19,0.3,0.9
2022,0,20,0.0,0.3
2022,0,21,18.3,7.8
2022,0,22,50.8,18.8
2022,0,23,0.0,8.7
2022,0,24,0.0,0.3
2022,0,25,0.0,1.3
2022,0,26,0.0,0.2
2022,0,27,0.0,0.5
2022,0,28,7.8,3.1
2022,0,29,29.8,11.3
2022,0,30,0.0,6.4
2022,8,1,0.0,0.0
2022,8,2,14.6,7.5
2022,8,3,15.0,3.5
2022,8,4,0.0,0.2
2022,8,5,39.2,16.6
2022,8,6,72.3,25.2
2022,8,7,13.0,8.0
2022,8,8,0.0,0.7
2022,8,9,0.0,0.7
2022,8,10,0.0,0.0
2022,8,11,18.9,8.1
2022,8,12,0.0,5.4
2022,8,13,0.0,0.0
2022,8,14,0.0,1.2
